"Postcodes (PC4)";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Januari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Februari 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Maart 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|April 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Mei 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juni 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Juli 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Augustus 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|September 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|Oktober 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|November 2020";"Elektrische voertuigen (BEV) totaal, geregistreerd bij eigenaar|December 2020"
"3653 Landelijk gebied";"";"";"";"";"";"";"";"";"";"";"";""
"3701 Carre/Centrumschil-Z";56;58;62;64;65;67;66;67;70;71;75;83
"3702 Centrumschil-N";19;19;18;18;19;21;21;22;26;26;26;27
"3703 Griffensteijn/Slot/Bikkenburg";35;36;37;37;37;40;42;42;45;47;47;50
"3704 Nijenheim/CrosesteinUtrechtseweg";44;47;48;49;50;53;51;53;56;56;56;60
"3705 Patijnpark/Verzetswijk/Staatsliedenkw";67;68;69;69;69;69;71;74;75;77;80;83
"3706 Mooi Zeist/Vollenhove";11;11;11;11;11;11;12;13;15;16;16;16
"3707 Lyceumkw/Zeister Bos";211;212;220;225;239;246;252;262;277;292;313;347
"3708 Hoge Dennen/Kerckebosch";80;82;83;85;88;92;91;94;95;99;103;111
"3709 Station NS";4;4;4;4;4;4;3;3;3;3;4;7
"3711 Austerlitz";18;18;21;21;21;21;21;22;22;22;22;22
"3712 Huis Ter Heide";158;164;170;173;173;178;187;201;209;219;229;296
"3721 Weltevreden";74;74;72;72;75;81;85;88;91;103;107;114
"3722 Bilthoven-Z";51;52;56;57;59;60;60;62;62;63;65;67
"3723 Bilthoven-N";140;142;144;146;148;149;151;158;163;169;171;180
"3731 Steinenburg";41;43;44;46;46;48;53;52;53;54;57;61
"3732 De Bilt";55;56;58;61;62;62;63;65;66;66;73;73
"3734 Den Dolder";40;41;41;43;44;44;48;48;48;50;53;54
"3735 Bosch en Duin";40;40;41;41;43;45;45;46;49;51;52;52
"3737 Groenekan";41;41;41;39;39;39;43;42;43;45;47;53
"3738 Maartensdijk";42;42;43;44;44;45;45;47;47;48;50;56
"3739 Hollandsche Rading";17;17;18;18;18;18;20;21;21;22;22;21
"3741 Noord/Eemland";65;68;69;70;71;72;74;74;76;78;85;89
"3742 Zuid/Eemdal";60;63;63;62;64;63;67;67;69;73;79;81
"3743 Centrum";74;75;76;83;84;88;89;89;93;98;101;105
"3744 Lage Vuursche buitengebied";5;5;5;5;5;5;5;5;5;5;5;5
"3749 Lage Vuursche";8;8;8;8;8;8;8;8;8;8;8;9
"3751 Bunschoten/Spakenburg/De Haar";67;69;70;70;71;73;75;78;84;85;91;96
"3752 Broers-/Blokhuiswetering/Bikkersvaart";61;64;63;66;68;72;70;72;74;77;78;80
"3754 Eemdijk";3;3;3;3;3;4;4;4;4;4;4;4
"3755 Eemnes";93;97;98;99;101;102;101;104;112;116;114;119
"3761 Soestdijk";41;43;45;47;49;49;49;49;51;51;52;56
"3762 't Hart";62;61;62;62;63;66;75;79;85;87;90;98
"3763 Pijnenburg";23;24;24;24;23;26;28;32;33;34;38;40
"3764 Soest";42;43;44;46;47;48;49;48;49;49;53;54
"3765 Soesterveen I";30;30;33;34;35;34;36;37;39;40;40;41
"3766 Soesterveen II";33;33;33;32;32;33;35;36;38;39;41;44
"3768 Soestduinen/De Bunt/De Birkt";72;74;76;77;76;77;78;81;83;85;87;87
"3769 Soesterberg";61;64;67;68;70;71;78;80;83;87;90;91
"3771 Barneveld";157;161;162;162;166;169;173;175;176;184;189;211
"3772 Zuidwest/Zuidoost";110;120;119;122;127;130;134;136;141;143;150;165
"3773 Verspr. h. Barneveld";14;15;15;15;16;15;18;17;19;19;20;19
"3774 Kootwijkerbroek";92;93;93;93;93;93;93;95;98;99;100;104
"3775 Kootwijk";4;4;4;4;4;4;4;4;4;4;4;5
"3776 Stroe";13;14;14;15;15;15;16;17;18;19;19;20
"3781 Voorthuizen";73;75;76;78;79;80;84;88;91;94;95;106
"3784 Terschuur";13;14;14;14;14;13;15;14;15;16;16;18
"3785 Zwartebroek";12;11;11;11;11;10;10;10;10;11;11;11
"3791 Achterveld";19;19;20;19;19;20;21;21;24;25;27;27
"3792 Vrsp hzn Achterveld";0;0;0;0;0;0;0;0;0;0;0;0
"3794 De Glind";1;1;1;1;1;1;3;4;4;6;8;10
"3811 Stadskern/Zonnehof";100;100;100;100;102;104;114;114;121;123;129;137
"3812 Soesterkw/Industriekw";439;470;503;458;467;483;505;505;546;617;656;758
"3813 De Koppel/Schothorst";57;59;60;61;61;65;67;68;68;70;74;80
"3814 De Kruiskamp";18;15;16;15;16;17;17;17;17;20;21;21
"3815 Liendert/Rustenburg";38;39;39;42;41;42;41;45;43;46;47;48
"3816 Schuiloenburg/Randenbroek";54;56;58;58;60;62;66;68;69;69;70;73
"3817 Dorrestein/Leusderkw";79;82;84;83;87;88;94;94;96;97;103;107
"3818 De Berg/Bosgebied";167;173;173;177;176;181;184;188;191;196;200;205
"3819 Birkhoven/Bokkeduinen";4;4;4;4;4;3;2;2;2;2;2;2
"3821 De Hoef";41;43;47;45;45;46;50;55;57;58;58;64
"3822 Zielhorst";43;43;63;62;63;65;67;66;68;71;71;73
"3823 Kattenbroek/De Brand";65;68;70;71;72;77;79;83;85;86;89;96
"3824 Nieuwland Stad/Hoge Hoven/e.a.";3796;3827;3865;3916;3985;4095;4216;4708;5197;5612;6176;9007
"3825 Nieuwland";99;100;112;117;119;122;128;129;134;141;149;157
"3826 Amersfoort";62;65;64;63;64;66;69;75;76;78;79;82
"3828 Hoogland";83;83;85;85;84;83;85;86;89;92;94;96
"3829 Hooglanderveen/Vathorst";31;32;36;37;37;38;39;40;41;42;43;47
"3831 Centrum-O/'t Ruige Veld";75;77;79;81;82;84;85;85;89;94;102;109
"3832 Zuid";40;42;42;41;41;41;44;44;44;46;47;48
"3833 Centrum-W";81;84;84;83;82;83;94;92;92;96;98;102
"3834 Zwanenburg/Munnikhove/Bosveld";12;12;14;14;14;16;16;16;18;18;18;18
"3835 Stoutenburg";7;7;7;6;6;6;6;6;6;7;7;8
"3836 Voormalig Leusden";2;2;2;2;2;2;2;2;2;2;2;2
"3841 Binnenstad/Zeebuurt/Friesegracht";34;37;39;41;41;44;46;45;46;47;49;51
"3842 Stadsdennen/Sypel";27;27;28;29;31;31;30;31;31;31;32;33
"3843 Tweelingstad";26;26;25;25;24;28;28;28;31;29;29;30
"3844 Stadsweiden/Slingerbos";41;41;40;41;40;41;44;46;50;49;51;52
"3845 Drielanden";79;64;63;65;67;73;78;81;86;86;92;130
"3846 Industriegebied";46;79;40;41;41;42;42;45;50;56;72;69
"3847 Buitengebied Harderwijk";16;16;16;17;17;17;19;22;21;21;21;18
"3848 Frankrijk";8;8;9;9;10;9;9;10;11;11;11;12
"3849 Hierden";14;14;15;15;16;17;19;21;22;22;21;20
"3851 Ermelo-kern";77;77;90;87;90;88;87;88;93;95;96;101
"3852 Speuld/Oost/Tonsel";46;46;47;47;47;48;51;54;56;56;58;59
"3853 West/Veldwijk/Horst";56;56;57;57;60;60;64;64;67;75;76;79
"3861 Noordwest/Zuidwest";87;88;92;93;97;97;99;102;107;111;113;124
"3862 Zuidoost";61;64;63;64;66;70;74;76;77;79;80;84
"3863 Verspr. h. in Holkerveen";40;41;43;43;46;48;49;51;50;51;53;56
"3864 Nijkerkerveen";30;33;33;32;33;34;35;36;39;43;45;52
"3871 Hoevelaken";79;80;82;87;87;88;90;93;94;97;103;108
"3881 Centrum/Zuidoost/Noord/Koudhoorn";73;76;75;75;77;78;79;79;80;83;85;87
"3882 Zuidwest";111;113;115;114;115;133;130;136;141;147;152;163
"3886 Garderen";26;27;27;26;27;27;29;29;29;31;35;37
"3888 Uddel";176;172;212;210;210;208;209;210;211;213;213;216
"3891 Centrum";31;33;31;32;36;34;35;37;36;38;38;38
"3892 Tweede woonwijk";25;28;29;28;27;27;30;32;35;39;43;48
"3893 Buurt 3";36;36;37;37;35;38;38;42;44;47;45;46
"3894 Zeewolde";21;25;27;28;29;31;35;36;36;39;38;39
"3895 Zeewolde";"";"";"";"";"";"";"";"";"";"";"";""
"3896 Zuidlob";7;7;7;7;7;7;8;8;8;8;8;8
"3897 Middengebied";13;14;14;15;15;16;15;15;15;15;15;16
"3898 Knardijkgebied";6;6;6;6;6;6;6;6;6;7;7;8
"3899 Trekkersveld";11;12;12;12;12;12;13;13;13;13;13;16
"3901 Centrum";37;37;38;39;41;43;44;44;45;46;46;53
"3902 Dragonder";140;143;147;151;153;159;168;168;184;207;227;250
"3903 Industriewijk";93;93;94;95;94;95;94;94;93;97;102;123
"3904 Zuidoost/West I/Zuidweest";61;65;71;71;72;76;74;77;82;88;91;98
"3905 Noord/West II/De Vendel";93;98;106;105;107;112;113;118;124;126;134;151
"3906 Componistenbuurt/Vogelbuurt/Dichtersbuurt";33;34;32;34;34;34;35;38;41;43;43;45
"3907 Dragonder-Oost";23;24;22;23;24;25;26;30;31;30;31;32
"3911 Rhenen/Achterberg";94;94;95;95;96;104;109;116;116;121;126;129
"3912 Stad (w.o.Veewijk, industriewijk e.o.stad)";0;0;0;0;0;1;0;0;0;0;0;1
"3921 Elst";32;31;31;29;30;31;32;32;28;29;30;33
"3922 Elst";3;3;3;3;3;3;3;3;3;4;4;5
"3925 Scherpenzeel";65;67;68;68;68;69;71;73;79;81;84;88
"3927 Renswoude";56;60;61;61;60;61;62;62;65;72;72;74
"3931 Woudenberg";135;137;137;136;133;137;194;197;199;204;213;214
"3941 Doorn";125;129;132;134;135;141;143;143;146;148;149;159
"3945 Cothen";21;21;22;23;22;23;24;24;25;25;25;25
"3947 Langbroek";26;26;26;26;26;25;27;27;29;30;34;37
"3951 Maarn";44;45;47;48;49;53;57;58;60;61;64;69
"3953 Maarsbergen";22;24;24;24;24;26;28;28;29;31;34;35
"3956 Leersum";67;68;69;69;70;72;74;77;80;86;89;92
"3958 Amerongen";45;44;44;42;44;46;50;53;54;55;59;60
"3959 Overberg";6;6;5;4;4;5;5;5;8;9;11;11
"3961 Wijk bij Duurstede";80;83;84;84;85;88;89;94;98;99;102;106
"3962 Wijk bij Duurstede";73;76;78;82;83;87;96;96;100;101;106;108
"3971 Noord";107;109;110;113;113;118;128;131;131;135;139;143
"3972 Zuid";86;88;95;97;98;99;102;104;107;111;111;112
"3981 Bunnik";144;143;153;156;159;156;157;161;162;168;172;175
"3984 Odijk";53;53;57;58;58;58;61;64;65;67;69;72
"3985 Werkhoven";29;28;28;27;27;27;27;31;31;34;35;35
"3989 Ossenwaard";"";"";"";"";"";"";"";"";"";"";"";""
"3991 Dorn/Den Oord/Houten Zuid";3002;3090;3229;3326;3393;3559;3673;3844;4143;4458;4805;5851
"3992 Weerwolf/Wulven/Doornkade";62;66;64;65;65;64;67;69;71;75;85;93
"3993 Schonenburg/De Geer";14;15;17;17;18;20;23;23;25;25;25;26
"3994 Wernaar/Rijsbrug";95;100;102;105;103;110;112;116;121;127;129;133
"3995 Centrum";36;35;35;35;35;35;35;35;34;34;34;36
"3997 't Goy";14;13;13;13;14;16;17;18;19;21;21;21
"3998 Schalkwijk";23;23;24;24;24;23;25;26;30;31;32;34
"3999 Tull en 't Waal";5;4;4;4;4;5;5;6;6;6;6;6
"4001 Kern";36;36;35;34;35;38;38;40;42;44;44;48
"4002 Elzenpas";7;7;8;8;8;8;8;7;7;7;9;11
"4003 Westroijen/Geerstein/Drumpt";44;43;42;42;42;44;45;48;49;53;60;60
"4004 Kollen/Kellen";280;294;294;295;302;308;319;323;346;393;426;532
"4005 Ooij/Latenstein";29;31;32;32;33;31;35;36;36;37;37;53
"4006 Ridderweide/West";8;7;7;7;7;7;7;8;8;9;9;11
"4007 Passewaay";38;39;38;39;40;42;41;47;51;52;54;56
"4011 Zoelen";15;16;16;16;17;18;22;24;26;25;26;26
"4012 Kerk Avezaath";17;17;17;17;17;17;18;18;18;18;18;19
"4013 Kapel Avezaath";6;8;8;8;8;8;9;11;11;12;12;13
"4014 Wadenoijen";9;9;9;9;10;10;11;11;12;12;12;12
"4016 Kapel Avezaath/Buren";0;0;0;0;0;0;0;0;0;0;0;0
"4017 Kerk Avezaath/Tiel";2;2;2;4;4;4;4;4;4;4;4;4
"4021 Maurik";23;25;39;39;39;40;40;42;45;48;49;50
"4023 Rijswijk";8;9;9;9;9;8;8;9;9;9;9;9
"4024 Eck en Wiel";25;27;28;30;29;29;30;30;30;32;32;34
"4031 Ingen";9;8;8;8;8;10;11;11;11;11;10;11
"4032 Ommeren";3;3;3;3;3;3;3;3;3;3;3;3
"4033 Lienden";43;43;44;45;45;46;47;47;49;55;57;60
"4041 Kesteren";57;59;61;72;74;75;76;78;79;86;91;93
"4043 Opheusden";41;42;44;44;46;48;50;52;55;58;58;58
"4051 Ochten";25;26;28;28;29;31;32;34;38;39;41;48
"4053 IJzendoorn";13;12;13;14;16;17;18;18;19;19;20;20
"4054 Echteld";6;6;6;6;7;6;6;6;7;10;11;12
"4061 Ophemert";21;22;22;23;23;23;25;25;26;28;29;31
"4062 Zennewijnen";2;2;2;2;2;2;2;2;2;2;2;2
"4063 Heesselt";5;5;6;6;6;6;6;6;7;7;7;7
"4064 Varik";4;4;5;6;6;6;7;9;11;11;11;11
"4101 Centrum";57;58;58;59;62;63;65;67;69;71;73;75
"4102 Ter Weijde";30;31;31;31;32;35;36;36;39;40;40;40
"4103 Vrsp hzn W/Z van Culemborg";29;29;30;30;30;30;31;31;32;33;33;37
"4104 Culemborg industriegebied";35;47;36;34;36;35;36;36;41;43;43;45
"4105 Buitenwijken";54;59;60;61;61;61;66;71;74;73;73;78
"4106 Culemborg";2;2;2;2;2;4;5;7;7;7;7;7
"4107 Culemborg";5;4;5;5;5;4;4;4;4;4;4;4
"4111 Zoelmond";4;4;5;5;5;5;5;5;5;5;6;7
"4112 Beusichem";20;20;22;23;24;27;27;31;34;37;36;37
"4115 Asch";5;5;5;6;7;7;7;7;7;7;7;7
"4116 Buren";16;16;17;17;18;18;20;20;22;21;22;22
"4117 Erichem";10;10;10;10;10;10;10;10;10;10;10;10
"4119 Ravenswaaij";6;7;8;7;7;7;7;8;7;8;8;8
"4121 Everdingen";15;14;14;14;14;14;13;13;13;15;16;16
"4122 Zijderveld";11;11;11;11;11;11;11;11;11;12;13;13
"4124 Hagestein";15;15;15;15;14;14;13;13;13;14;14;14
"4125 Hoef en Haag";17;17;16;17;18;17;17;18;19;20;21;21
"4126 Hei- en Boeicop";8;8;8;8;8;8;8;8;9;9;10;10
"4128 Lexmond";22;23;23;23;23;23;23;24;25;25;25;30
"4131 Vianen/Vijfheerenlanden";97;99;104;109;110;112;122;128;135;140;147;178
"4132 Oude Stad/Zederik";33;36;37;37;37;39;39;44;43;44;46;44
"4133 Monnikenhof/Amaliastein";39;41;42;44;44;44;48;49;50;50;54;55
"4141 Centrum/Oost";26;26;28;31;31;35;33;33;35;36;36;40
"4142 West";17;18;21;24;24;27;28;27;27;31;30;32
"4143 Noord";57;57;58;59;60;61;60;64;69;67;66;74
"4145 Schoonrewoerd";16;17;16;16;17;17;17;17;16;17;17;17
"4147 Asperen";16;16;17;17;17;17;19;19;19;21;20;23
"4151 Acquoy";4;4;4;4;4;3;3;4;5;6;7;8
"4152 Rhenoy";7;7;7;7;7;7;7;7;6;7;7;7
"4153 Beesd";43;42;42;44;43;43;43;48;47;46;50;54
"4155 Gellicum";3;3;3;3;3;3;3;3;4;4;4;5
"4156 Rumpt";12;12;12;13;13;13;13;14;16;16;14;15
"4157 Enspijk";7;7;7;8;8;8;10;10;11;13;14;14
"4158 Deil";16;16;16;16;16;16;15;15;17;16;16;18
"4161 Heukelum";13;14;15;15;15;17;17;18;18;18;20;19
"4163 Oosterwijk";3;3;3;3;3;3;3;3;3;3;3;4
"4171 Herwijnen";12;13;14;14;14;15;15;15;15;17;16;16
"4174 Hellouw";8;8;9;9;9;9;9;11;12;14;14;14
"4175 Haaften";31;31;33;33;33;36;36;39;42;42;44;51
"4176 Tuil";11;11;11;11;10;10;11;12;12;12;12;13
"4181 Waardenburg";1546;1547;1549;1346;1656;2455;3437;3561;4069;4116;4293;4303
"4182 Neerijnen";10;10;11;12;12;11;11;11;11;11;11;11
"4184 Opijnen";5;8;8;8;8;8;10;10;10;10;12;13
"4185 Est";3;3;3;3;3;3;4;5;5;5;5;6
"4191 Geldermalsen";119;118;121;121;121;126;135;140;143;151;159;170
"4194 Meteren";23;24;25;25;24;24;25;24;25;24;24;25
"4196 Tricht";16;17;18;19;18;20;20;20;19;20;21;21
"4197 Buurmalsen";12;12;14;14;13;13;13;13;13;14;15;16
"4201 Binnenstad";45;45;44;44;44;44;47;51;52;54;58;60
"4202 West/Avelingen";8;7;7;7;7;7;8;8;8;8;8;8
"4203 Noord/Molenvliet";2;2;2;2;2;2;2;2;2;2;2;2
"4204 Gildenwijk";21;22;22;22;22;23;24;24;25;26;28;27
"4205 Haarwijk/Stalkaarsen";56;58;61;61;63;65;67;67;68;69;69;70
"4206 Lingewijk";49;55;54;54;54;54;60;64;67;68;67;104
"4207 Laag-Dalem/Wijdschild";102;103;103;100;103;107;108;114;118;124;127;133
"4208 Hoog-Dalem";15;15;15;18;19;20;21;25;26;28;31;35
"4209 Schelluinen";15;15;17;17;15;16;17;18;18;18;19;20
"4211 Spijk";5;5;5;5;5;5;6;6;6;6;6;6
"4212 Vuren";2;2;2;2;2;4;4;4;5;5;5;6
"4213 Dalem";9;9;9;10;10;10;10;10;11;11;11;11
"4214 Vuren";21;22;23;23;23;23;21;21;24;26;27;28
"4221 Hoogblokland";12;12;12;11;10;11;10;11;11;12;12;12
"4223 Hoornaar";20;22;22;24;24;25;25;26;26;26;26;26
"4225 Noordeloos";12;12;12;12;13;13;14;15;19;22;23;24
"4231 Meerkerk";41;41;42;43;44;46;50;50;52;54;56;61
"4233 Ameide";11;11;11;11;12;12;14;15;18;18;19;20
"4235 Tienhoven";2;2;2;2;2;2;2;2;2;2;2;2
"4241 Arkel";42;41;43;44;47;49;50;51;50;52;53;54
"4243 Nieuwland";5;5;5;6;6;6;6;6;6;6;7;7
"4245 Leerbroek";9;10;13;13;13;14;15;15;15;15;17;17
"4247 Kedichem";10;10;10;11;11;12;12;12;12;12;12;12
"4251 Werkendam";62;66;67;67;68;68;76;79;81;83;86;91
"4254 Sleeuwijk";36;37;37;41;40;41;44;49;51;53;55;57
"4255 Nieuwendijk";15;15;15;13;14;14;15;17;16;16;19;20
"4261 Wijk en Aalburg";31;32;33;35;35;35;36;37;38;40;43;47
"4264 Veen";15;16;16;16;15;16;17;17;17;18;20;21
"4265 Genderen";9;11;11;10;10;12;13;13;13;14;16;24
"4266 Eethen";5;5;5;7;7;7;7;7;8;7;8;8
"4267 Drongelen";3;3;3;3;3;3;3;3;2;2;2;2
"4268 Meeuwen";6;7;7;7;7;8;8;8;8;8;8;8
"4269 Babylonienbroek";1;1;1;1;1;1;1;1;1;1;1;1
"4271 Dussen";17;18;19;19;19;19;19;20;21;22;24;25
"4273 Hank";26;26;26;27;27;28;31;34;35;35;36;38
"4281 Andel";19;20;21;22;22;24;24;26;28;28;29;31
"4283 Giessen";15;15;15;16;17;17;16;16;17;17;19;20
"4284 Rijswijk";7;7;7;7;7;7;6;6;6;6;6;8
"4285 Woudrichem";29;29;28;31;34;35;36;36;39;44;45;46
"4286 Almkerk";28;28;28;30;30;31;33;35;36;42;43;48
"4287 Waardhuizen";0;0;1;1;1;1;1;1;1;1;1;2
"4288 Uitwijk";3;3;3;3;3;3;3;3;3;4;4;4
"4301 Zierikzee";65;66;67;67;61;61;63;64;68;77;77;81
"4302 Centrum Zierikzee";11;11;11;11;11;12;13;12;12;14;13;12
"4303 Zierikzee";9;9;9;9;9;8;10;10;10;11;11;11
"4305 Ouwerkerk";8;8;8;7;7;7;8;8;8;9;10;10
"4306 Nieuwerkerk";17;17;18;18;20;19;19;19;19;20;20;20
"4307 Oosterland";17;15;15;15;15;16;18;21;21;21;22;22
"4308 Sirjansland";1;1;2;2;2;2;2;2;3;3;3;3
"4311 Bruinisse";46;46;46;46;47;47;49;48;49;50;49;52
"4315 Dreischor";5;5;5;5;5;5;5;6;6;6;6;5
"4316 Zonnemaire";8;8;9;9;10;10;10;10;11;11;11;11
"4317 Noordgouwe";12;12;13;13;13;13;13;13;13;14;14;14
"4318 Brouwershaven";18;18;18;19;19;19;21;22;23;23;23;24
"4321 Kerkwerve";7;7;7;7;8;8;9;9;8;8;8;9
"4322 Scharendijke";11;13;13;13;13;13;13;13;13;13;13;13
"4323 Ellemeet";3;3;3;3;3;3;4;5;5;6;6;6
"4325 Renesse";24;25;26;26;27;29;28;27;28;29;31;34
"4326 Noordwelle";0;0;0;0;0;0;0;0;0;0;0;0
"4327 Serooskerke";4;4;4;3;3;3;4;4;4;5;5;5
"4328 Burgh-Haamstede";61;63;65;65;65;68;70;74;77;81;82;84
"4331 Middelburg";54;54;55;55;55;54;59;61;61;66;67;68
"4332 Noordoost";19;19;19;20;21;23;24;24;25;25;25;26
"4333 Noord";56;54;53;53;55;60;60;61;65;65;69;75
"4334 Noordwest";11;12;13;13;13;13;14;16;17;17;17;17
"4335 Zuidwest";49;50;51;54;54;55;56;55;57;56;57;59
"4336 Zuid";35;35;35;33;34;36;35;35;37;38;37;40
"4337 Dauwendaele";25;26;28;28;28;30;30;31;33;37;38;41
"4338 Groot Industrieterrein";16;16;16;16;20;25;25;25;25;17;18;22
"4339 Nieuw- en St Joosland";6;7;7;7;7;6;6;7;8;9;8;9
"4341 Arnemuiden";23;23;23;23;24;24;25;26;28;28;27;27
"4351 Veere";11;13;13;13;14;14;15;18;18;19;20;20
"4352 Gapinge";6;6;7;7;7;7;8;8;8;10;11;10
"4353 Serooskerke";13;14;14;14;15;15;17;18;18;18;19;19
"4354 Vrouwenpolder";4;6;7;7;7;7;10;9;10;12;14;15
"4356 Oostkapelle";24;25;25;25;25;25;25;26;25;28;29;31
"4357 Domburg";25;25;26;25;24;25;25;25;26;26;27;28
"4361 Westkapelle";26;26;26;27;28;34;34;34;34;34;35;37
"4363 Aagtekerke";10;10;10;10;11;12;12;12;14;13;13;13
"4364 Grijpskerke";8;8;9;9;9;9;10;10;10;10;11;11
"4365 Meliskerke";1;1;1;1;1;1;2;2;2;3;3;3
"4371 Koudekerke";28;28;30;32;32;33;34;38;38;43;42;41
"4373 Biggekerke";4;4;3;4;4;4;4;4;4;4;6;6
"4374 Zoutelande";53;53;53;53;53;53;53;53;53;54;50;50
"4381 Binnenstad";18;18;20;18;20;23;26;26;26;28;29;30
"4382 Middengebied/Binnen-/Buitenhavens";52;53;54;52;51;53;56;58;59;58;61;63
"4383 Middengebied/Het Fort";11;11;12;12;13;14;14;14;15;15;15;15
"4384 Paauwenburg/Westduin";23;22;23;22;25;24;25;25;28;29;30;30
"4385 Rosenburgh/Westerzicht";10;10;11;11;12;13;13;13;13;16;17;18
"4386 Zuidbeek/West-Souburg";12;13;13;13;16;16;18;20;22;23;22;23
"4387 Vrijburg";7;8;8;9;10;10;10;10;10;12;12;12
"4388 Oost-Souburg";21;21;22;27;28;28;29;27;28;29;33;33
"4389 Ritthem/Sloegebied";33;33;33;33;33;33;32;33;33;32;32;33
"4401 Yerseke";46;51;52;54;55;56;56;55;55;55;59;61
"4411 Rilland-Bath";35;36;36;35;34;36;36;37;38;38;38;40
"4413 Krabbendijke";19;19;19;20;21;22;22;22;23;23;24;24
"4414 Waarde";7;7;7;8;9;10;10;10;10;11;11;12
"4415 Oostdijk";6;6;6;6;8;8;8;8;8;7;7;8
"4416 Kruiningen";18;20;22;24;26;32;33;43;46;48;49;46
"4417 Hansweert";6;6;6;7;7;8;8;7;7;7;9;10
"4421 Kapelle";55;57;57;58;58;58;58;61;63;66;68;75
"4423 Schore";6;6;7;7;7;8;8;7;7;7;7;7
"4424 Wemeldinge";32;34;36;36;35;36;38;40;42;42;42;45
"4431 s-Gravenpolder";16;16;18;18;19;21;23;25;27;30;30;36
"4433 Hoedekenskerke";6;6;5;5;5;5;5;6;6;6;8;8
"4434 Kwadendamme";4;4;4;5;5;5;6;6;7;8;9;9
"4435 Baarland";12;12;12;12;13;13;13;13;13;14;22;22
"4436 Oudelande";52;53;54;54;54;53;53;53;59;59;58;58
"4437 Ellewoutsdijk";7;7;7;7;7;8;8;8;8;8;8;8
"4438 Driewegen";1;1;1;2;2;2;2;2;3;6;6;6
"4441 Ovezande";78;79;79;78;79;91;93;93;94;95;95;95
"4443 Nisse";4;5;5;5;5;5;5;5;5;5;6;6
"4444 's-Heer-Abtskerke";1;2;2;3;3;3;4;4;4;5;5;5
"4451 Heinkenszand";32;33;35;35;39;43;42;44;47;54;57;59
"4453 's-Heerenhoek";6;6;6;8;9;9;10;11;12;15;19;19
"4454 Borssele";7;7;7;8;9;9;9;10;10;10;10;12
"4455 Nieuwdorp";8;8;11;11;11;14;15;15;15;15;15;15
"4456 Lewedorp";13;13;13;13;13;13;12;12;12;12;13;14
"4458 s-Heer-Arendskerke";19;20;20;21;20;21;21;22;22;23;23;24
"4461 Centrum/Oost/West";49;48;48;48;49;50;54;54;53;53;56;60
"4462 Zuid";271;281;282;286;289;293;301;308;324;338;348;374
"4463 Noordwest/Haven";17;19;19;18;18;18;21;22;23;27;26;27
"4464 Noordoost";13;14;15;16;16;18;19;20;21;21;22;24
"4465 Goese Meer";23;22;23;23;23;23;24;25;28;30;33;33
"4471 Wolphaartsdijk";17;17;17;17;19;19;19;19;20;22;23;24
"4472 's-Heer-Hendrikskinderen";9;9;10;11;11;11;12;13;13;15;15;15
"4474 Kattendijke";7;7;7;7;7;8;8;9;9;9;11;11
"4475 Wilhelminadorp";9;8;8;9;9;9;10;11;11;11;11;11
"4481 Kloetinge";18;18;18;20;20;20;21;22;22;22;22;24
"4482 Kapelle";"";"";"";"";"";"";"";"";"";"";0;0
"4484 Kortgene";15;16;16;20;21;23;23;23;24;24;27;27
"4485 Kats";8;8;8;8;8;11;11;11;11;13;13;16
"4486 Colijnsplaat";13;14;14;14;15;15;16;17;17;17;17;17
"4491 Wissenkerke";9;9;11;11;11;11;10;9;10;10;10;10
"4493 Kamperland";25;26;26;26;30;31;32;32;35;36;37;39
"4494 Geersdijk";4;4;4;4;4;5;5;5;5;5;5;7
"4501 Oostburg";23;25;25;28;27;27;28;30;32;31;31;32
"4503 Groede";78;78;78;73;74;99;103;104;102;103;97;98
"4504 Nieuwvliet";8;8;8;8;8;8;8;8;8;8;7;7
"4505 Zuidzande";0;0;0;0;0;0;0;0;0;0;1;1
"4506 Cadzand";4;4;4;4;4;4;4;4;16;16;16;17
"4507 Schoondijke";3;3;3;4;4;5;5;6;8;8;9;9
"4508 Waterlandkerkje";5;5;5;5;5;5;5;5;5;5;5;5
"4511 Breskens";24;24;24;25;25;28;28;28;37;37;37;40
"4513 Hoofdplaat";9;9;9;9;9;10;10;10;11;12;12;12
"4515 IJzendijke";13;13;14;14;14;14;15;19;20;20;19;19
"4521 Biervliet";9;9;9;9;10;10;10;11;13;13;14;16
"4522 Pyramide";1;1;2;2;2;2;2;2;2;2;2;2
"4524 Sluis";15;15;15;14;14;14;15;15;16;15;20;21
"4525 Retranchement";2;2;2;2;2;2;2;2;2;2;2;2
